#param liczba_scenariuszy := 100;

param koszt_dodatkowy_mw: T1 T2 T3 :=
	1 2.367319 3.823724 1.090666
	2 2.668306 1.695109 3.378949
	3 2.981364 1.805316 1.299839
	4 1.184918 4.090538 4.238702
	5 1.790316 3.775675 4.148301
	6 2.501643 3.968625 3.168825
	7 3.130804 1.590393 2.229942
	8 1.050841 3.317687 2.174368
	9 1.827605 2.556875 1.326115
	10 2.990107 1.098213 3.088472
	11 3.367934 2.754525 1.045915
	12 1.377479 3.264264 4.370832
	13 3.265918 1.5385 2.820062
	14 1.653822 1.98341 4.648969
	15 2.482403 3.198323 1.953714
	16 1.19557 1.182795 4.587612
	17 1.506461 3.511576 4.537373
	18 2.495129 3.218464 1.305658
	19 2.830812 2.765907 2.626165
	20 3.035075 3.849855 2.837641
	21 1.316852 3.554955 2.443647
	22 2.486408 2.566157 3.250555
	23 2.544104 3.273461 3.009729
	24 1.239638 4.561961 2.937345
	25 1.778444 4.469199 4.418254
	26 2.685891 1.274468 1.33807
	27 3.231524 1.570096 2.586414
	28 2.796001 2.385948 1.18634
	29 2.290809 2.595453 1.589929
	30 2.63405 1.575215 3.819593
	31 2.209402 2.2912 4.554853
	32 3.560821 2.498975 3.178182
	33 1.690809 4.230967 4.797232
	34 2.815684 4.433132 2.78936
	35 2.522822 1.325936 4.391595
	36 2.047262 3.927975 2.635066
	37 2.085475 3.421539 3.786512
	38 2.143311 4.353377 3.634081
	39 2.741238 2.334456 1.059486
	40 2.604955 2.63545 4.515966
	41 1.969092 3.77911 2.277199
	42 2.451211 1.583366 2.376588
	43 3.674258 1.037494 2.034282
	44 2.446485 4.80457 2.774531
	45 2.081021 1.285812 2.114368
	46 3.56246 2.47254 1.05282
	47 4.470681 2.27971 1.035899
	48 2.719891 1.422881 2.142933
	49 2.77936 3.491606 2.815838
	50 2.650017 3.229341 1.544988
	51 3.267656 1.453484 3.186726
	52 2.763605 2.816794 3.151564
	53 2.638113 1.496483 2.9962
	54 1.211098 3.365489 3.787884
	55 2.858683 1.603631 1.288401
	56 2.355443 2.168467 4.49568
	57 3.025085 2.387147 3.106944
	58 2.695054 3.414419 4.209571
	59 2.766193 3.912465 3.639822
	60 2.787921 2.308518 2.391406
	61 2.550445 2.626817 2.998539
	62 2.204315 2.529929 2.704962
	63 2.474406 2.97309 2.111547
	64 3.043051 3.472465 1.848161
	65 2.068582 4.368126 3.608136
	66 3.347973 1.638855 2.177519
	67 2.079852 1.735858 3.031421
	68 3.056725 4.17736 2.335932
	69 2.928377 2.704764 3.020767
	70 3.02468 4.815663 1.02499
	71 1.422468 2.261378 4.858136
	72 2.362637 3.876149 1.409568
	73 3.727749 4.480745 1.698716
	74 1.823213 2.997171 4.964685
	75 2.903759 1.772836 4.104881
	76 3.214315 3.528572 3.043501
	77 2.345276 1.119525 2.999314
	78 3.039146 1.168874 3.643996
	79 1.543749 2.497814 3.86739
	80 2.323757 1.937236 4.515296
	81 3.052828 1.561186 2.495539
	82 3.107333 1.239777 2.12382
	83 2.769499 4.775731 2.119021
	84 2.360607 4.930965 2.121951
	85 2.213239 1.409805 3.098145
	86 2.921442 1.535606 3.266462
	87 2.49913 2.411342 2.621216
	88 3.013827 2.025941 4.403569
	89 3.160483 4.015603 2.458748
	90 1.683371 2.745418 4.58232
	91 3.366849 2.192601 2.25904
	92 1.71725 1.205498 3.609375
	93 2.38734 3.309188 2.286893
	94 2.556774 2.666078 3.45264
	95 2.035455 2.195004 2.366242
	96 2.833938 4.521133 3.136476
	97 2.531677 1.761068 3.608381
	98 2.675252 3.407598 2.491627
	99 2.296084 3.933628 3.667975
	100 4.244334 2.229629 2.463572
;
