#param liczba_scenariuszy := 50;

param koszt_dodatkowy_mw: T1 T2 T3 :=
	1 2.367319 3.823724 1.090666
	2 2.668306 1.695109 3.378949
	3 2.981364 1.805316 1.299839
	4 1.184918 4.090538 4.238702
	5 1.790316 3.775675 4.148301
	6 2.501643 3.968625 3.168825
	7 3.130804 1.590393 2.229942
	8 1.050841 3.317687 2.174368
	9 1.827605 2.556875 1.326115
	10 2.990107 1.098213 3.088472
	11 3.367934 2.754525 1.045915
	12 1.377479 3.264264 4.370832
	13 3.265918 1.5385 2.820062
	14 1.653822 1.98341 4.648969
	15 2.482403 3.198323 1.953714
	16 1.19557 1.182795 4.587612
	17 1.506461 3.511576 4.537373
	18 2.495129 3.218464 1.305658
	19 2.830812 2.765907 2.626165
	20 3.035075 3.849855 2.837641
	21 1.316852 3.554955 2.443647
	22 2.486408 2.566157 3.250555
	23 2.544104 3.273461 3.009729
	24 1.239638 4.561961 2.937345
	25 1.778444 4.469199 4.418254
	26 2.685891 1.274468 1.33807
	27 3.231524 1.570096 2.586414
	28 2.796001 2.385948 1.18634
	29 2.290809 2.595453 1.589929
	30 2.63405 1.575215 3.819593
	31 2.209402 2.2912 4.554853
	32 3.560821 2.498975 3.178182
	33 1.690809 4.230967 4.797232
	34 2.815684 4.433132 2.78936
	35 2.522822 1.325936 4.391595
	36 2.047262 3.927975 2.635066
	37 2.085475 3.421539 3.786512
	38 2.143311 4.353377 3.634081
	39 2.741238 2.334456 1.059486
	40 2.604955 2.63545 4.515966
	41 1.969092 3.77911 2.277199
	42 2.451211 1.583366 2.376588
	43 3.674258 1.037494 2.034282
	44 2.446485 4.80457 2.774531
	45 2.081021 1.285812 2.114368
	46 3.56246 2.47254 1.05282
	47 4.470681 2.27971 1.035899
	48 2.719891 1.422881 2.142933
	49 2.77936 3.491606 2.815838
	50 2.650017 3.229341 1.544988
;
